Assay_Plate_Barcode,Plate_Map_Name
200921_193743-V,JUMP-MOA_compound_platemap_with_metadata
200922_015124-V,JUMP-MOA_compound_platemap_with_metadata
BR00116620,JUMP-MOA_compound_platemap_with_metadata
BR00116621,JUMP-MOA_compound_platemap_with_metadata
BR00116622,JUMP-MOA_compound_platemap_with_metadata
BR00116624,JUMP-MOA_compound_platemap_with_metadata
BR00116632,JUMP-MOA_compound_platemap_with_metadata
BR00116633,JUMP-MOA_compound_platemap_with_metadata
BR00116634,JUMP-MOA_compound_platemap_with_metadata
