Assay_Plate_Barcode,Plate_Map_Name
200921_193743-V,JUMP-MOA_compound_platemap_with_metadata
200922_015124-V,JUMP-MOA_compound_platemap_with_metadata
BR00116622,JUMP-MOA_compound_platemap_with_metadata
BR00116625,JUMP-MOA_compound_platemap_with_metadata
BR00116627,JUMP-MOA_compound_platemap_with_metadata
BR00116628,JUMP-MOA_compound_platemap_with_metadata
BR00116629,JUMP-MOA_compound_platemap_with_metadata
BR00116630,JUMP-MOA_compound_platemap_with_metadata
BR00116631,JUMP-MOA_compound_platemap_with_metadata
