Assay_Plate_Barcode,Plate_Map_Name
BR00116620,JUMP-MOA_compound_platemap_with_metadata
BR00116621,JUMP-MOA_compound_platemap_with_metadata
BR00116624,JUMP-MOA_compound_platemap_with_metadata
