plate_map_name	well_position	broad_sample	solvent
JUMP-Target-2_compound_platemap	D12	BRD-K19477839-001-10-9	DMSO
JUMP-Target-2_compound_platemap	D13	BRD-K38852836-001-04-9	DMSO
JUMP-Target-2_compound_platemap	D14	BRD-K42191735-001-08-7	DMSO
JUMP-Target-2_compound_platemap	D15	BRD-K93942811-001-01-3	DMSO
JUMP-Target-2_compound_platemap	D16	BRD-K64800655-001-11-9	DMSO
JUMP-Target-2_compound_platemap	D17		DMSO
JUMP-Target-2_compound_platemap	D18		DMSO
JUMP-Target-2_compound_platemap	D19	BRD-K58550667-001-12-9	DMSO
JUMP-Target-2_compound_platemap	D20	BRD-K49350383-001-15-2	DMSO
JUMP-Target-2_compound_platemap	D21	BRD-K25243230-001-01-2	DMSO
JUMP-Target-2_compound_platemap	D22		DMSO
JUMP-Target-2_compound_platemap	D23	BRD-K70821460-300-02-4	DMSO
JUMP-Target-2_compound_platemap	D24	BRD-K44771174-066-01-0	DMSO
JUMP-Target-2_compound_platemap	E01		DMSO
JUMP-Target-2_compound_platemap	E02	BRD-K50495309-001-02-0	DMSO
JUMP-Target-2_compound_platemap	E03	BRD-K62810658-001-11-4	DMSO
JUMP-Target-2_compound_platemap	E04	BRD-A30815329-001-10-5	DMSO
JUMP-Target-2_compound_platemap	E05		DMSO
JUMP-Target-2_compound_platemap	E06	BRD-K24283677-001-02-9	DMSO
JUMP-Target-2_compound_platemap	E07	BRD-K29322660-001-01-9	DMSO
JUMP-Target-2_compound_platemap	E08		DMSO
JUMP-Target-2_compound_platemap	E09	BRD-A72351335-001-04-5	DMSO
JUMP-Target-2_compound_platemap	E10	BRD-K76674262-001-05-9	DMSO
JUMP-Target-2_compound_platemap	E11	BRD-K47738867-001-01-5	DMSO
JUMP-Target-2_compound_platemap	E12	BRD-K76908866-001-08-9	DMSO
JUMP-Target-2_compound_platemap	E13		DMSO
JUMP-Target-2_compound_platemap	E14	BRD-K69877120-001-02-9	DMSO
JUMP-Target-2_compound_platemap	E15	BRD-K60150510-001-15-6	DMSO
JUMP-Target-2_compound_platemap	E16	BRD-K77220725-003-02-9	DMSO
JUMP-Target-2_compound_platemap	E17	BRD-K31476763-001-01-5	DMSO
JUMP-Target-2_compound_platemap	E18		DMSO
JUMP-Target-2_compound_platemap	E19	BRD-K19333160-001-01-3	DMSO
JUMP-Target-2_compound_platemap	E20	BRD-K51899933-001-02-6	DMSO
JUMP-Target-2_compound_platemap	E21	BRD-K98357249-001-02-9	DMSO
JUMP-Target-2_compound_platemap	E22		DMSO
JUMP-Target-2_compound_platemap	E23		DMSO
JUMP-Target-2_compound_platemap	E24	BRD-K67017579-001-28-1	DMSO
JUMP-Target-2_compound_platemap	F01	BRD-K92049597-001-21-9	DMSO
JUMP-Target-2_compound_platemap	F02	BRD-K47978074-001-03-2	DMSO
JUMP-Target-2_compound_platemap	F03	BRD-K37355418-236-01-6	DMSO
JUMP-Target-2_compound_platemap	F04	BRD-A99888680-001-05-3	DMSO
JUMP-Target-2_compound_platemap	F05		DMSO
JUMP-Target-2_compound_platemap	F06	BRD-K91188791-001-17-5	DMSO
JUMP-Target-2_compound_platemap	F07	BRD-K91535048-001-01-2	DMSO
JUMP-Target-2_compound_platemap	F08	BRD-K87691185-001-01-2	DMSO
JUMP-Target-2_compound_platemap	F09	BRD-K02490038-236-03-8	DMSO
JUMP-Target-2_compound_platemap	F10	BRD-K23363278-001-02-1	DMSO
JUMP-Target-2_compound_platemap	F11	BRD-K52075715-001-07-5	DMSO
JUMP-Target-2_compound_platemap	F12	BRD-K97072811-001-11-4	DMSO
JUMP-Target-2_compound_platemap	F13		DMSO
JUMP-Target-2_compound_platemap	F14		DMSO
JUMP-Target-2_compound_platemap	F15	BRD-K84783599-001-01-0	DMSO
JUMP-Target-2_compound_platemap	F16	BRD-K32730239-001-01-0	DMSO
JUMP-Target-2_compound_platemap	F17	BRD-A63310107-001-04-8	DMSO
JUMP-Target-2_compound_platemap	F18	BRD-K07442505-001-05-9	DMSO
JUMP-Target-2_compound_platemap	F19	BRD-K00259736-001-16-4	DMSO
JUMP-Target-2_compound_platemap	F20	BRD-A08187463-001-12-9	DMSO
JUMP-Target-2_compound_platemap	F21		DMSO
JUMP-Target-2_compound_platemap	F22	BRD-K86525559-001-07-8	DMSO
JUMP-Target-2_compound_platemap	F23	BRD-K18895904-001-16-1	DMSO
JUMP-Target-2_compound_platemap	F24		DMSO
JUMP-Target-2_compound_platemap	G01	BRD-K94342292-001-02-9	DMSO
JUMP-Target-2_compound_platemap	G02	BRD-K47049295-300-03-1	DMSO
JUMP-Target-2_compound_platemap	G03		DMSO
JUMP-Target-2_compound_platemap	G04		DMSO
JUMP-Target-2_compound_platemap	G05	BRD-K21528677-001-04-4	DMSO
JUMP-Target-2_compound_platemap	G06	BRD-K93788137-001-05-9	DMSO
JUMP-Target-2_compound_platemap	G07	BRD-A91008255-003-24-8	DMSO
JUMP-Target-2_compound_platemap	G08	BRD-A51831848-001-02-9	DMSO
JUMP-Target-2_compound_platemap	G09	BRD-K97091514-001-11-4	DMSO
JUMP-Target-2_compound_platemap	G10	BRD-K01824976-300-02-9	DMSO
